City,Model,Parameters,MAE,MSE,RMSE,MAPE
Annan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",1.0098612688283561,2.263242390581226,1.5044076543880074,1.9941201445140222
Annan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",3.6605503992114725,27.01536017122458,5.197630245720118,6.652650581646055
Annan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",3.6605518448954464,27.015352527837067,5.197629510443878,6.652655776847892
Annan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",2.5947061510891585,13.336441279989875,3.651909265026977,4.962826535472484
Annan,VMD+FAN,"K:7,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",3.7558029273292624,27.975011829312393,5.289140934907331,7.3148746871045685
Annan,VMD+FAN,"K:7,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",1.4166930485991576,4.172272037779149,2.0426140207535903,2.802892432196917
Annan,VMD+FAN,"K:7,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",3.028888815815687,17.909100152841823,4.231914478441386,5.890363379630112
Annan,VMD+FAN,"K:7,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",1.5611513432067003,4.8979011401458585,2.213120227223514,3.147644657481098
Annan,VMD+FAN,"K:7,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:1e-05, p_ratio:0.25, fan_units:64, forecast_horizon:1",3.7573512656458314,28.43615776662629,5.332556400698102,7.108979376150848
Annan,VMD+FAN,"K:7,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",1.4167064133488165,4.172343294426794,2.0426314631932003,2.802919996283628
Annan,VMD+FAN,"K:7,alpha:3000,tau:1e-06,DC:False,tol:1e-05,window_size:12, learning_rate:0.0001, p_ratio:0.25, fan_units:64, forecast_horizon:1",1.5611624910444184,4.897971098359316,2.2131360325021405,3.1476670356835506
Annan,VMD+FAN,"K:7,alpha:3000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:1e-05, p_ratio:0.15, fan_units:64, forecast_horizon:1",3.02888310890765,17.909034431886766,4.231906713514225,5.890350614982872
Banqiao,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",0.9789431818888801,2.5631780006863973,1.6009928171876342,2.6260419067982537
Cailiao,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",1.1309007943440013,3.2088284587074294,1.7913203115879162,2.914285394341944
Dongshan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",0.6457605940649354,1.1208900915498834,1.0587209696373654,2.2303615399439667
Yilan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",0.6137433239843981,0.9494427085340561,0.9743935080520888,1.8834782712130478
Zhongshan,VMD+FAN,"K:7,alpha:1000,tau:1e-06,DC:False,tol:1e-07,window_size:12, learning_rate:0.0001, p_ratio:0.15, fan_units:64, forecast_horizon:1",1.0018472675141203,2.530184501215722,1.5906553684616043,2.671512779607605
